Element ID,Step 1 : R,Step 2 : R,Step 3 : R,Step 4 : R,Step 5 : R,Step 6 : R,Step 7 : R,Step 8 : R,Step 9 : R,Step 10 : R,Step 11 : R,Step 12 : R,Step 13 : R,Step 14 : R,Step 15 : R,Step 16 : R,Step 17 : R,Step 18 : R,Step 19 : R,Step 20 : R,Step 21 : R,Position X,Position Y,Position Z
730,-2.17712471E-1,-2.13081946E-1,-2.08450237E-1,-2.04789130E-1,-2.03952208E-1,-2.08578774E-1,-2.18672139E-1,-2.31279851E-1,-2.37161090E-1,-2.36923750E-1,-2.34126180E-1,-2.29693371E-1,-2.23802855E-1,-2.17106231E-1,-2.11807665E-1,-2.11042816E-1,-2.14799577E-1,-2.20991206E-1,-2.23475988E-1,-2.21694422E-1,-2.17708657E-1,109.701,61.9545,0
733,9.37448849E-1,9.46834665E-1,9.60477815E-1,9.66634485E-1,9.68329060E-1,9.70902455E-1,9.75348591E-1,9.78196480E-1,9.68474034E-1,9.45991920E-1,9.27815061E-1,9.23189990E-1,9.26577689E-1,9.29390600E-1,9.31266527E-1,9.34099154E-1,9.39851371E-1,9.45801097E-1,9.45084639E-1,9.38210005E-1,9.37421642E-1,120.366,63.0193,0
734,1.22824493E+0,1.22464329E+0,1.22218882E+0,1.22434327E+0,1.22785854E+0,1.23072429E+0,1.23258826E+0,1.23409457E+0,1.23637645E+0,1.23774678E+0,1.24066109E+0,1.23679945E+0,1.23011310E+0,1.22647647E+0,1.22504906E+0,1.22410064E+0,1.22341570E+0,1.22380132E+0,1.22512230E+0,1.22742922E+0,1.22823044E+0,120.634,62.302,0
735,1.68956760E+0,1.68918889E+0,1.69355183E+0,1.69696465E+0,1.69880564E+0,1.68962263E+0,1.67050427E+0,1.66252972E+0,1.67652230E+0,1.68884111E+0,1.68738473E+0,1.68799074E+0,1.69278820E+0,1.69589709E+0,1.69771946E+0,1.68883504E+0,1.67137934E+0,1.66463154E+0,1.67979672E+0,1.69228215E+0,1.68975474E+0,135.623,6.3617,0
736,1.27635935E+0,1.29140139E+0,1.30755497E+0,1.32837385E+0,1.34678045E+0,1.35686639E+0,1.35441477E+0,1.33130538E+0,1.29589707E+0,1.27494258E+0,1.27941863E+0,1.29190030E+0,1.30535903E+0,1.32502529E+0,1.34155253E+0,1.35144238E+0,1.34698253E+0,1.32161122E+0,1.28709528E+0,1.26834816E+0,1.27619070E+0,135.749,5.60662,0
741,3.10230482E-2,3.00877813E-2,2.92237558E-2,2.85615621E-2,2.84444463E-2,2.94353810E-2,3.15865882E-2,3.44701931E-2,3.60729620E-2,3.59271143E-2,3.50278306E-2,3.38904780E-2,3.25736984E-2,3.11732033E-2,3.00710257E-2,2.98815519E-2,3.06426131E-2,3.19190330E-2,3.24057180E-2,3.19311636E-2,3.10235365E-2,93.899,0.39198,0
742,3.71493243E-2,3.60982907E-2,3.51258516E-2,3.43807678E-2,3.42482971E-2,3.53599415E-2,3.77773381E-2,4.10240569E-2,4.28329359E-2,4.26571866E-2,4.16461202E-2,4.03573528E-2,3.88871527E-2,3.73130258E-2,3.60744322E-2,3.58621525E-2,3.67171951E-2,3.81513998E-2,3.86984456E-2,3.81677420E-2,3.71498831E-2,94.2465,0.861344,0
743,3.68971835E-2,3.58391524E-2,3.48583281E-2,3.41062224E-2,3.39713597E-2,3.50883286E-2,3.75186463E-2,4.07826109E-2,4.26018597E-2,4.24256005E-2,4.14121957E-2,4.01164334E-2,3.86373881E-2,3.70538261E-2,3.58082620E-2,3.55944265E-2,3.64562325E-2,3.78992034E-2,3.84506053E-2,3.79192087E-2,3.68977056E-2,94.8076,0.469364,0
744,4.50823019E-2,4.39223602E-2,4.28515777E-2,4.20325263E-2,4.18888047E-2,4.31186596E-2,4.57917934E-2,4.93817513E-2,5.13811560E-2,5.11769395E-2,5.00593070E-2,4.86328939E-2,4.70127421E-2,4.52751246E-2,4.39061678E-2,4.36701718E-2,4.46140376E-2,4.61972779E-2,4.67992052E-2,4.62101154E-2,4.50830430E-2,95.0895,1.08775,0
745,-2.46862392E-2,-2.37151815E-2,-2.27932530E-2,-2.20801214E-2,-2.19388159E-2,-2.29387677E-2,-2.51271299E-2,-2.80712139E-2,-2.97224029E-2,-2.95898997E-2,-2.86980023E-2,-2.75215719E-2,-2.61792920E-2,-2.47338395E-2,-2.36072712E-2,-2.34248987E-2,-2.42136078E-2,-2.55305482E-2,-2.60478419E-2,-2.55936753E-2,-2.46863840E-2,81.5117,46.6106,0
